,Year,SE.ADT.1524.LT.FE.ZS,SP.POP.TOTL,SP.POP.80UP.FE,Country Code,Country Name,Region,Income Group,Lending Type
42,2012,40.9383811951,9729248.0,26218,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
43,2018,51.9436187744,11485048.0,31073,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
44,2012,82.1790390015,701583.0,3056,BTN,Bhutan,South Asia,Lower middle income,IDA
45,2017,92.8911209106,745568.0,4083,BTN,Bhutan,South Asia,Lower middle income,IDA
46,2011,98.7720184326,10212954.0,74701,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
47,2012,98.8286132812,10377676.0,79053,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
48,2015,99.4042129517,10869730.0,90940,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
49,2011,99.1504364014,3661175.0,66217,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
50,2013,99.6674728394,3542605.0,63117,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
51,2013,99.139541626,2062536.0,6767,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
52,2010,98.3187408447,195713635.0,1547247,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
53,2011,99.0731506348,197514534.0,1641523,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
54,2012,99.0208206177,199287296.0,1727619,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
55,2013,99.2297210693,201035903.0,1810674,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
56,2014,99.2503128052,202763735.0,1897149,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
57,2015,99.3467025757,204471769.0,1990864,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
58,2016,99.455329895,206163058.0,2118490,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
59,2017,99.481338501,207833831.0,2248240,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
60,2018,99.4315338135,209469333.0,2376080,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
61,2011,99.5460586548,393688.0,1086,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
62,2018,99.7896575928,428962.0,1712,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
63,2011,97.6510620117,7348328.0,192957,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
64,2014,43.9858283997,17586017.0,27016,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
65,2018,54.6699981689,19751535.0,30929,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
66,2014,74.9589080811,9844297.0,17695,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
67,2017,85.6185531616,10827024.0,19555,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
68,2012,98.3981781006,505235.0,3702,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
69,2015,98.730178833,524743.0,4213,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
70,2014,90.3722610474,15274503.0,47329,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
71,2015,92.5732803345,15521436.0,48419,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
72,2010,76.4209289551,20341241.0,37047,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
73,2018,82.4100036621,25216237.0,46817,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
74,2010,26.9713306427,4386768.0,10554,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
75,2018,28.706659317,4666377.0,11241,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
76,2015,25.9936199188,14110975.0,24586,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
77,2016,22.3871498108,14561666.0,26123,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
78,2010,99.0952224731,17062536.0,237132,CHL,Chile,Latin America & Caribbean ,High income,IBRD
79,2011,99.6053695679,17233576.0,249827,CHL,Chile,Latin America & Caribbean ,High income,IBRD
80,2013,99.0869369507,17571507.0,272304,CHL,Chile,Latin America & Caribbean ,High income,IBRD
81,2015,99.4405593872,17969353.0,293547,CHL,Chile,Latin America & Caribbean ,High income,IBRD
82,2017,99.0115585327,18470439.0,314619,CHL,Chile,Latin America & Caribbean ,High income,IBRD
83,2010,99.5930404663,1337705000.0,10145837,CHN,China,East Asia & Pacific,Upper middle income,IBRD
84,2018,99.7833786011,1392730000.0,14779201,CHN,China,East Asia & Pacific,Upper middle income,IBRD
85,2010,98.5171966553,45222699.0,348420,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
86,2011,98.7243423462,45662747.0,369096,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
87,2014,98.9728469849,46967706.0,427307,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
88,2015,98.9153366089,47520667.0,447188,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
89,2016,99.0252685547,48175048.0,469842,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
90,2018,99.0696029663,49661056.0,514703,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
91,2012,69.5952224731,723871.0,1650,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
92,2018,78.3023605347,832322.0,1920,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
93,2012,76.6585006714,69020747.0,148321,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
94,2016,79.71484375,78789127.0,172230,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
95,2011,76.9460830688,4394844.0,7693,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
96,2018,78.7423095703,5244363.0,9658,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
97,2011,99.2581176758,4633086.0,42392,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
98,2018,99.5299987793,4999441.0,59341,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
99,2012,38.7500801086,21547188.0,31892,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
100,2014,47.0397491455,22647683.0,32693,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
101,2018,53.025100708,25069229.0,37749,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
102,2011,99.7357177734,4280622.0,124422,HRV,Croatia,Europe & Central Asia,High income,IBRD
103,2012,99.8952026367,11257101.0,198924,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
104,2011,99.8383102417,1124833.0,17676,CYP,Cyprus,Europe & Central Asia,High income,Not classified
105,2016,99.8412017822,10566332.0,287990,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
106,2010,97.8834915161,9695121.0,59563,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
107,2011,98.0537490845,9813210.0,63680,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
108,2012,97.7692337036,9930911.0,67679,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
109,2013,98.2525177002,10048224.0,71566,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
110,2014,98.0448074341,10165178.0,75374,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
111,2015,98.030960083,10281680.0,79134,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
112,2016,98.8673706055,10397743.0,84104,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
113,2010,98.8541030884,15011117.0,108169,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
114,2011,98.8053207397,15243883.0,113378,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
115,2012,98.8945388794,15474102.0,118324,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
116,2013,98.6324768066,15707474.0,123166,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
117,2014,99.1869277954,15951838.0,128018,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
118,2015,98.9122924805,16212020.0,133016,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
119,2016,99.1369171143,16491115.0,138950,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
120,2017,99.4024200439,16785361.0,144742,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
121,2010,84.306930542,82761235.0,392690,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
122,2012,86.0515899658,86422240.0,429167,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
123,2013,90.3254013062,88404640.0,438682,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
124,2017,86.810546875,96442593.0,471910,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
125,2010,96.3857421875,6183875.0,46849,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
126,2011,96.945892334,6210568.0,49650,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
127,2013,97.5001907349,6266070.0,54968,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
128,2015,98.4337387085,6325124.0,59802,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
129,2016,98.278717041,6356143.0,63260,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
130,2017,98.1496429443,6388122.0,66482,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
131,2018,98.2106781006,6420744.0,69489,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
132,2010,98.2981719971,943639.0,1624,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
133,2011,99.9590377808,1327439.0,44579,EST,Estonia,Europe & Central Asia,High income,Not classified
134,2010,94.7484893799,1064837.0,3630,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
135,2018,96.6952514648,1136191.0,5411,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
136,2017,71.9725112915,106400024.0,288913,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
137,2017,99.8108291626,877459.0,2857,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
138,2012,89.4292526245,1749682.0,6120,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
139,2018,91.4493789673,2119275.0,7090,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
140,2013,56.1209793091,1963711.0,2633,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
141,2015,64.4468307495,2085860.0,2629,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
142,2014,99.7291412354,3719414.0,78005,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
143,2017,99.4936523438,3728004.0,89506,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
144,2010,83.2345275879,24779619.0,37794,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
145,2018,92.2085494995,29767108.0,54806,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
146,2011,98.9069824219,11104899.0,352676,GRC,Greece,Europe & Central Asia,High income,Not classified
147,2018,99.0699996948,10732882.0,458864,GRC,Greece,Europe & Central Asia,High income,Not classified
148,2014,99.5,108902.0,1506,GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend
149,2012,91.9423675537,14781942.0,75589,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
150,2013,89.7703704834,15043981.0,79455,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
151,2014,93.2692489624,15306316.0,83008,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
152,2010,21.7967300415,10192176.0,18415,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
153,2014,37.2101783752,11150977.0,21445,GIN,Guinea,Sub-Saharan Africa ,Low income,IDA
154,2014,49.7563209534,1692439.0,3058,GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA
155,2014,97.0370101929,763380.0,4295,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA
156,2016,82.6348266602,10839970.0,49049,HTI,Haiti,Latin America & Caribbean ,Low income,IDA
157,2010,95.8775024414,8317470.0,41779,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
158,2011,96.9260101318,8480671.0,43900,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
159,2012,95.9872131348,8640691.0,45932,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
160,2013,96.2985610962,8798521.0,47886,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
161,2014,96.2922592163,8955589.0,49740,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
162,2015,96.9996109009,9112916.0,51504,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
163,2016,97.2456130981,9270795.0,53761,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
164,2018,98.1850967407,9587522.0,57746,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA
165,2014,99.0,9866468.0,278393,HUN,Hungary,Europe & Central Asia,High income,Not classified
166,2011,81.8498077393,1250288729.0,5014757,IND,India,South Asia,Lower middle income,IBRD
167,2018,90.1694107056,1352617328.0,6977349,IND,India,South Asia,Lower middle income,IBRD
168,2011,98.7518005371,245116206.0,1068122,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
169,2014,99.6788330078,255129004.0,1164062,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
170,2015,99.6370162964,258383256.0,1189074,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
171,2016,99.6535110474,261554226.0,1274382,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
172,2018,99.6962509155,267663435.0,1426771,IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD
173,2012,97.6617889404,75539862.0,322692,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,IBRD
174,2013,97.4379806519,76481943.0,335983,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,IBRD
175,2014,97.6781692505,77465753.0,345871,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,IBRD
176,2016,97.9251327515,79564016.0,369097,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,IBRD
177,2012,79.4000015259,31890011.0,94678,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
178,2013,75.9000015259,33157050.0,97388,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
179,2014,85.5,34411951.0,99002,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
180,2016,88.3000030518,36610632.0,105083,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
181,2017,92.0999984741,37552781.0,109286,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD
182,2011,99.8686981201,59379449.0,2332271,ITA,Italy,Europe & Central Asia,High income,Not classified
183,2018,99.9499969482,60421760.0,2752016,ITA,Italy,Europe & Central Asia,High income,Not classified
184,2014,98.8000030518,2875136.0,32092,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD
185,2010,98.7663497925,7261539.0,18195,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD
186,2011,99.2532196045,7663131.0,19869,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD
187,2012,99.2027282715,8090872.0,21609,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD
188,2018,99.4939117432,9956011.0,33005,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD
189,2010,99.8509063721,16321872.0,145100,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD
190,2018,99.8509063721,18276498.5,194887,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD
191,2014,86.1365203857,46699981.0,72935,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend
192,2018,88.0800018311,51393010.0,89802,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend
193,2010,98.718208313,2991884.0,1509,KWT,Kuwait,Middle East & North Africa,High income,Not classified
194,2012,98.8353118896,3348853.0,2113,KWT,Kuwait,Middle East & North Africa,High income,Not classified
195,2013,99.0406723022,3526376.0,2411,KWT,Kuwait,Middle East & North Africa,High income,Not classified
196,2015,99.4008483887,3835591.0,2896,KWT,Kuwait,Middle East & North Africa,High income,Not classified
197,2017,99.4992218018,4056099.0,3846,KWT,Kuwait,Middle East & North Africa,High income,Not classified
198,2018,99.5035476685,4137312.0,4206,KWT,Kuwait,Middle East & North Africa,High income,Not classified
199,2018,99.8099975586,6322800.0,41561,KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA
200,2011,67.0537796021,6347567.0,19792,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA
201,2015,90.5010681152,6741164.0,21209,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA
202,2011,99.8701095581,2059709.0,68911,LVA,Latvia,Europe & Central Asia,High income,Not classified
203,2018,99.8600006104,1927174.0,83146,LVA,Latvia,Europe & Central Asia,High income,Not classified
204,2018,99.8389816284,6848925.0,60276,LBN,Lebanon,Middle East & North Africa,Upper middle income,IBRD
205,2014,93.9698791504,2043437.0,14080,LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,IDA
206,2017,45.638710022,4702228.0,10545,LBR,Liberia,Sub-Saharan Africa ,Low income,IDA
207,2011,99.8666229248,3028115.0,98244,LTU,Lithuania,Europe & Central Asia,High income,Not classified
208,2011,99.6900787354,550832.0,6755,MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified
209,2016,99.8661727905,612836.0,8079,MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified
210,2012,75.3038482666,22346641.0,47040,MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA
211,2018,80.6780319214,26262368.0,61123,MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA
212,2010,69.9817428589,14539612.0,29202,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA
213,2014,73.3324203491,16289540.0,32216,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA
214,2015,73.3858032227,16745303.0,31613,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA
215,2010,98.4582595825,28208035.0,101591,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
216,2016,97.8576126099,30684804.0,151510,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
217,2017,97.4384384155,31105028.0,163027,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
218,2018,97.0185317993,31528585.0,173691,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
219,2014,99.4395523071,435015.0,1280,MDV,Maldives,South Asia,Upper middle income,IDA
220,2016,99.0886306763,475513.0,1555,MDV,Maldives,South Asia,Upper middle income,IDA
221,2010,33.9457092285,15049353.0,23119,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
222,2011,29.6953907013,15514591.0,24843,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
223,2015,39.2077598572,17438778.0,24781,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
224,2018,43.398109436,19077690.0,28215,MLI,Mali,Sub-Saharan Africa ,Low income,IDA
225,2011,99.3865737915,416268.0,9682,MLT,Malta,Middle East & North Africa,High income,Not classified
226,2018,99.5608825684,484630.0,13941,MLT,Malta,Middle East & North Africa,High income,Not classified
227,2017,56.7607192993,4282574.0,11045,MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA
228,2011,98.575920105,1252404.0,12286,MUS,Mauritius,Sub-Saharan Africa ,High income,IBRD
229,2018,99.3534164429,1265303.0,16596,MUS,Mauritius,Sub-Saharan Africa ,High income,IBRD
230,2010,98.4921264648,114092963.0,920792,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
231,2011,98.5066604614,115695473.0,957727,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
232,2012,99.0295715332,117274155.0,990718,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
233,2013,98.6019134521,118827161.0,1020331,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
234,2014,99.079460144,120355128.0,1046758,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
235,2015,99.0149536133,121858258.0,1070450,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
236,2016,99.2072296143,123333376.0,1100795,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
237,2017,99.1683731079,124777324.0,1126120,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
238,2018,99.3884735107,126190788.0,1148032,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
239,2010,99.6335678101,2861487.0,39479,MDA,Moldova,Europe & Central Asia,Lower middle income,IBRD
240,2012,99.5857772827,2859458.0,41963,MDA,Moldova,Europe & Central Asia,Lower middle income,IBRD
241,2014,99.8155288696,2856950.0,42681,MDA,Moldova,Europe & Central Asia,Lower middle income,IBRD
242,2010,98.9087371826,2719896.0,8281,MNG,Mongolia,East Asia & Pacific,Lower middle income,IBRD
243,2018,99.0800018311,3170208.0,13070,MNG,Mongolia,East Asia & Pacific,Lower middle income,IBRD
244,2011,99.0526123047,620079.0,10102,MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD
245,2018,98.9700012207,622227.0,13185,MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD
246,2011,74.034286499,32781850.0,192779,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD
247,2012,87.7834014893,33241898.0,203711,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD
248,2018,97.4000015259,36029138.0,261886,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD
249,2015,62.6669883728,27042002.0,60857,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA
250,2017,65.4897689819,28649007.0,69004,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA
251,2016,84.4137878418,53045226.0,259797,MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA
252,2011,95.346321106,2156701.0,10865,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD
253,2018,96.1984405518,2448255.0,10412,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD
254,2011,80.2068328857,27041437.0,98922,NPL,Nepal,South Asia,Lower middle income,IDA
255,2018,90.8834686279,28087871.0,117194,NPL,Nepal,South Asia,Lower middle income,IDA
256,2014,99.3000030518,268050.0,2014,NCL,New Caledonia,East Asia & Pacific,High income,Not classified
257,2015,93.6019363403,6223240.0,38823,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA
258,2012,31.6439094543,17795191.0,21523,NER,Niger,Sub-Saharan Africa ,Low income,IDA
259,2018,35.5600013733,22442948.0,29845,NER,Niger,Sub-Saharan Africa ,Low income,IDA
260,2018,68.2626266479,195874740.0,233226,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend
261,2014,98.5,2077775.0,27681,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD
